,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD,DETAILS,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
0,10448401,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 08:28:31,2022-10-19 09:18:54,2022-10-20 08:28:31,2022-10-19 08:28:31,,,,Closed,,22-00503762,Standard,800 SOUTHERN AVENUE SE,400467.3,128840.97,38.82735337,-76.99461836,WASHINGTON,DC,20032,79579.0,8,,,{EB600D64-B29C-224F-E053-782F520A1F12},,,,
1,10448407,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 09:46:17,2022-10-19 12:47:49,2022-10-20 09:46:17,2022-10-19 09:46:17,,,,Closed,,22-00503770,Standard,CAMDEN STREET SE AND 38TH STREET SE,404146.59001779,132701.85703087,38.86212396,-76.95222268,WASHINGTON,DC,20020,907706.0,7,,,{EB614F44-F687-09A3-E053-782F520A8538},,,,
2,10448411,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 10:42:35,2022-10-19 17:24:21,2022-10-20 10:42:35,2022-10-19 10:42:35,,,,Closed,,22-00503781,Standard,1606 K STREET NE,401650.12,137207.91,38.90272479,-76.98097637,WASHINGTON,DC,20002,60120.0,5,,,{EB61F031-020F-4825-E053-782F520AF000},,,,
3,10448414,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:08:06,2022-10-19 13:27:10,2022-10-20 11:08:06,2022-10-19 11:08:06,,,,Closed,,22-00503786,Standard,2233 WISCONSIN AVENUE NW,393865.46,139121.4,38.91994196,-77.07073994,WASHINGTON,DC,20007,284312.0,3,,,{EB625B87-A2BD-6C1E-E053-782F520A8888},,,,
4,10448424,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:19:51,2022-10-19 13:27:30,2022-10-20 11:19:51,2022-10-19 11:19:51,,,,Closed,,22-00503797,Standard,1338 G STREET SE,401130.56,134847.09,38.88145847,-76.98697007,WASHINGTON,DC,20003,66900.0,6,,,{EB629137-6E33-298B-E053-782F520AED0C},,,,
5,10448426,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:23:30,2022-10-19 14:29:08,2022-10-20 11:23:30,2022-10-19 11:23:30,,,,Closed,,22-00503800,Standard,921 EUCLID STREET NW,397828.19,139607.0,38.92433513,-77.02504559,WASHINGTON,DC,20001,318611.0,1,,,{EB629137-6E35-298B-E053-782F520AED0C},,,,
6,10448427,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:23:48,2022-10-19 12:52:53,2022-10-20 11:23:48,2022-10-19 11:23:48,,,,Closed,,22-00503801,Standard,900 - 999 BLOCK OF CONSTITUTION AVENUE NW,397833.21999999,136026.510007,38.89208086,-77.02497629,WASHINGTON,DC,20004,807152.0,2,,,{EB629137-6E36-298B-E053-782F520AED0C},,,,
7,10448428,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:23:56,2022-10-19 13:05:24,2022-10-20 11:23:56,2022-10-19 11:23:56,,,,Closed,,22-00503802,Standard,2542 9TH STREET NW,397866.72,139536.78,38.923703,-77.02460104,WASHINGTON,DC,20001,284408.0,1,,,{EB629137-6E37-298B-E053-782F520AED0C},,,,
8,10448438,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:40:26,2022-10-19 12:29:44,2022-10-20 11:40:26,2022-10-19 11:40:26,,,,Closed,,22-00503814,Standard,1208 EUCLID STREET NW,397534.1,139518.25,38.92353487,-77.02843675,WASHINGTON,DC,20009,231988.0,1,,,{EB62C6D0-BD0C-2560-E053-782F520A0B46},,,,
9,10448445,S0261,Parking Enforcement,PEMA- Parking Enforcement Management Administration,DPW,1,2022-10-19 11:47:39,2022-10-19 12:45:05,2022-10-20 11:47:38,2022-10-19 11:47:39,,,,Closed,,22-00503819,Standard,705 EDGEWOOD STREET NE,400362.72,139533.12,38.92367221,-76.99581711,WASHINGTON,DC,20017,289576.0,5,,,{EB62FC72-E48A-4B84-E053-782F520AFEAF},,,,
